################################################################################
TIMESTAMPED TRANSCRIPT
[1:38:11] [Music]
[1:38:13] should bless him
[1:38:19] that's right and every sister saving the
[1:38:23] Lord
[1:38:26] in good times with God
[1:38:43] and the two are brought together
[1:38:47] under the ministry
[1:38:50] the ministry plays a major role
[1:38:54] in The Marriage of this young man and
[1:38:57] this young lady
[1:38:59] foreign
[1:39:01] [Music]
[1:39:59] Christian
[1:40:03] [Music]
[1:40:08] including a sister came to me
[1:40:11] in my office
[1:40:21] I'm going uphill
[1:40:23] I've got problems
[1:40:27] and
[1:40:29] I I I worship God
[1:40:32] but I don't know
[1:40:35] if God sees my efforts or what foreign
[1:40:54] now he said
[1:40:57] I even went to see uh as a countries
[1:41:06] not God
[1:41:07] he said no I prayed and prayed
[1:41:12] I ended up singers
[1:41:16] I said all right okay I said please got
[1:41:21] a psychiatrist it's just like yourself
[1:41:23] she's also a woman
[1:41:26] she's got her own problems
[1:41:30] amen amen amen now John but her career
[1:41:34] as a psychologist
[1:41:38] it doesn't take away her problems
[1:41:44] he says yes pastor before
[1:41:49] he see she says every time I enter her
[1:41:54] office
[1:41:56] foreign uh and say I have come
[1:42:00] and then
[1:42:03] I I found her seated like this
[1:42:09] oh uh are you here oh
[1:42:14] oh
[1:42:16] you know even last night I didn't sleep
[1:42:19] I said that is
[1:42:24] you are expecting to get the help from
[1:42:26] them
[1:42:29] I said she also has problems
[1:42:35] she said yes
[1:42:37] because before she can tell me
[1:42:42] of my problems and the plans foreign
[1:43:01] psychiatrist
[1:43:09] I said now
[1:43:12] but you are expecting hey
[1:43:16] to help you
[1:43:19] now before she can turn on your problems
[1:43:25] she anoints you with her own problems
[1:43:34] now what hope do you have
[1:43:40] all right I mean
[1:43:44] a magistrate a masterat
[1:43:49] having divorced seven or two times
[1:43:56] amen amen
[1:43:58] then jolly
[1:44:00] you come before
[1:44:03] the magistration
[1:44:05] expecting him
[1:44:07] to help you
[1:44:10] hey people
[1:44:12] but
[1:44:14] let us
[1:44:17] know the best
[1:44:20] come to Christ
[1:44:24] he carried our abundance
[1:44:29] you go to psychologist
[1:44:32] s
[1:44:40] I was alone oh
[1:44:42] wow
[1:44:43] are you angry with me I'm trying to
[1:44:46] all right amen what I'm trying to say
[1:44:50] is that we need Christ
[1:44:57] myself I still need
[1:45:00] the highest one
[1:45:03] Jesus Christ
[1:45:08] now let us end here
[1:45:11] this wedding
[1:45:14] today
[1:45:16] of brother amen
[1:45:22] and Lee
[1:45:24] Sister Sister
[1:45:30] the blessed
[1:45:32] son and daughter
[1:45:36] I'm in
[1:45:37] they have come to Mary
[1:45:42] under this Christian Banner yeah
[1:45:48] has matched them
[1:45:52] matched them over coupon
[1:45:58] you wait for
[1:46:00] yoursela Yahoo
[1:46:03] I mean
[1:46:05] yeah keep on playing like that that's
[1:46:07] nice
[1:46:09] yourself Luanne if you are a young man
[1:46:14] you can marry your wife
[1:46:17] you can't marry your true wife
[1:46:20] without being a Christian amen
[1:46:27] is that right
[1:46:28] that's why
[1:46:31] I'm going to call them to come before
[1:46:37] and
[1:46:38] God has blessed them foreign
[1:46:53] [Applause]
[1:47:11] coach all right amen well respected in
[1:47:15] the cycles of the supernatural
[1:47:20] [Music]
[1:47:25] a good man woman needs
[1:47:31] after God has blessed him with a good
[1:47:35] wife
[1:47:41] that will be a supernatural family
[1:47:45] [Music]
[1:47:48] foreign
[1:48:17] foreign
[1:48:33] but
[1:48:36] heaven will never break your
[1:48:39] relationship
[1:48:43] but although then there's no marriage
[1:48:47] but you remain
[1:48:50] [Music]
[1:48:56] what's the matter about you yes
[1:49:00] you know Adam and
[1:49:03] we're like brother foreign
[1:49:27] [Music]
[1:49:33] foreign
[1:49:38] but
[1:49:40] God's message
[1:49:44] amen
[1:49:46] [Music]
[1:49:50] that's why he says it was not so much
[1:49:54] amen amen so
[1:49:58] uh I think there's a nice
[1:50:02] Bridal
[1:50:04] touch they call it Bridal yes
[1:50:10] foreign
[1:50:40] just to stand up
[1:50:45] and the sister
[1:50:47] [Applause]
[1:50:49] assistant
[1:50:52] I'm in I'm in you know the song
[1:50:56] sister do you know the song Now what's
[1:51:00] happening yeah
[1:51:01] [Music]
[1:51:06] brother you are in for a good time
[1:51:13] you must learn to sing that song
[1:51:17] foreign
[1:51:28] [Music]
[1:51:28] [Applause]
[1:51:34] [Music]
[1:51:45] [Music]
[1:51:53] sometimes
[1:51:56] [Applause]
[1:52:02] [Music]
[1:52:03] for suggestions
[1:52:11] [Applause]
[1:52:19] [Applause]
[1:52:20] [Music]
[1:52:25] foreign
[1:52:26] [Music]
[1:52:35] [Music]
[1:52:43] [Music]
[1:52:57] [Music]
[1:53:02] amen amen
[1:53:04] Bobby
[1:53:09] his name is
[1:53:34] that's right
[1:53:37] [Music]
[1:53:48] [Applause]
[1:54:05] [Applause]
[1:54:09] hey hey
[1:54:20] everybody
[1:54:25] hey
[1:54:27] ah oh
[1:54:30] [Music]
[1:54:37] did you hear it sister yeah
[1:54:41] he is the
[1:54:43] okay amen God bless you now I want you
[1:54:47] to
[1:54:49] while they are standing
[1:54:51] I'm going to ask
[1:54:54] either
[1:54:58] they are coming here
[1:55:00] but how
[1:55:05] brother where is the chicken
[1:55:09] brother
[1:55:10] how
[1:55:12] how is it arranged
[1:55:14] who the
[1:55:16] leading them to
[1:55:18] therefore
[1:55:21] who is leading them
[1:55:31] brother
[1:55:35] who is leading them
[1:55:38] to come to the foreign
[1:55:42] is that to you
[1:55:45] if it is you just go down
[1:55:51] because it is official
[1:55:53] [Music]
[1:55:55] we need an official to walk before them
[1:55:59] official
[1:56:06] and sister
[1:56:11] just come to the center please
[1:56:14] foreign
[1:56:22] just come together now
[1:56:26] yes sister take your position there
[1:56:32] okay I'm in
[1:56:40] okay
[1:56:43] that's it
[1:56:45] [Music]
[1:56:47] [Applause]
[1:56:52] [Music]
[1:56:58] foreign
[1:56:59] [Music]
[1:57:08] [Music]
[1:57:27] to come here
[1:57:29] foreign
[1:57:35] [Music]
[1:57:42] [Music]
[1:57:55] [Applause]
[1:57:56] [Music]
[1:58:06] I'm dead
[1:58:08] [Music]
[1:58:11] God bless you
[1:58:15] [Music]
[1:58:19] God bless you sir
[1:58:21] thank you sir amen
[1:58:23] oh God bless you daughter
[1:58:26] you just follow
[1:58:29] Baba
[1:58:31] yeah
[1:58:39] you'll just remain around here
[1:58:43] okay
[1:58:44] [Music]
[1:58:46] is that fine yes
[1:58:50] [Music]
[1:58:58] [Music]
[1:59:06] all right all right thank you
[1:59:10] brother are you are you still David
[1:59:13] oh thank you
[1:59:17] all right
[1:59:19] welcome welcome
[1:59:27] I think I can't do it without you
[1:59:30] first
[1:59:33] um
[1:59:47] where is
[1:59:49] do we have a mic here okay
[1:59:56] just introduce
[2:00:01] greeting Saints and the wonderful name
[2:00:02] of our Lord Jesus Christ yes this is my
[2:00:05] brother the second born at home Aaron
[2:00:08] Russell amen amen okay
[2:00:14] God God has blessed you
[2:00:18] I don't know whether it should be you
[2:00:21] again to reduce
[2:00:23] foreign
[2:00:32] [Music]
[2:00:37] [Applause]
[2:00:49] [Music]
[2:00:55] will you be mean will you manage can you
[2:01:01] manage
[2:01:03] to tell us who's this one
[2:01:08] oh yeah
[2:01:13] this is my god-given wife
[2:01:19] soon to be awesome
[2:01:22] [Applause]
[2:01:28] ah you are a brave man
[2:01:32] okay
[2:01:36] now here we are
[2:01:39] firstly
[2:01:42] uh
[2:01:45] another mic please or will use this one
[2:01:49] okay I mean
[2:01:52] who will I ask
[2:01:55] to give this woman
[2:01:59] to be wife to this man
[2:02:23] amen amen
[2:02:31] foreign
[2:02:32] [Music]
[2:02:44] God bless you God bless you yes
[2:02:49] wonderful amen
[2:02:55] just like your father
[2:02:58] always happy
[2:03:02] okay amen and
[2:03:06] shall I continue amen who will I ask to
[2:03:11] give
[2:03:14] this man
[2:03:15] to be
[2:03:17] husband of this woman foreign
[2:03:21] [Music]
[2:03:36] on behalf of rasoho's family rafana
[2:03:39] Cardiff blessings
[2:03:43] very soon
[2:03:45] very soon to be Mrs Russell
[2:03:49] okay
[2:03:57] [Music]
[2:04:04] [Music]
[2:04:09] you are blessed also
[2:04:12] like a system
[2:04:16] thank you brother
[2:04:19] thank you Daddy
[2:04:22] no
[2:04:23] like we yes
[2:04:26] now
[2:04:28] here we
[2:04:29] we carry on now
[2:04:33] beloved
[2:04:36] we are gathered here in this in the
[2:04:39] sight of God
[2:04:43] and in the face of this company
[2:04:48] to join together this man and this woman
[2:04:51] in holy Matrix
[2:04:56] which is commanded by Saint Paul to be
[2:05:00] honorable among all men yeah
[2:05:06] it is therefore not by any need to be
[2:05:09] entered into an divisibility
[2:05:13] [Music]
[2:05:21] foreign
[2:05:23] [Music]
[2:05:28] into this holy State these two persons
[2:05:31] present come to be joined
[2:05:38] if there is any person here that can
[2:05:41] show a Just Cause why they should not be
[2:05:44] lawfully joined together in this holy
[2:05:46] matrimony
[2:05:48] um
[2:05:57] do you speak or from year after forever
[2:06:01] hold your peace oh
[2:06:08] that's right
[2:06:14] now surely
[2:06:21] here we are
[2:06:27] I will ask
[2:06:32] foreign
[2:07:04] I will require
[2:07:07] and will judge you both
[2:07:10] as you will surely answer at the day of
[2:07:13] judgment
[2:07:16] when the secrets of All Hearts shall be
[2:07:19] disclosed
[2:07:24] if either of you know any impediments
[2:07:31] why you should not be lawful joined
[2:07:35] together in this matrimony foreign
[2:07:47] for be it
[2:07:50] for be it assured unto you
[2:07:54] that any couple that are joined to
[2:07:58] joined otherwise than God's word that
[2:08:01] allowed their marriage is not
[2:08:05] lawfulness
[2:08:12] but Julie believe in that you have
[2:08:16] considered this solemn obligation that
[2:08:18] you are about to assume
[2:08:25] and that you have prepared to enter upon
[2:08:30] the same referently disgracefully
[2:08:34] [Music]
[2:08:39] and soberly
[2:08:42] in the fear of God I shall propose to
[2:08:46] you the marriage covenant
[2:08:50] you will declare the same as you join
[2:08:53] your right hand
[2:08:56] erosion
[2:08:58] amen amen
[2:09:03] Mania is not complete yeah
[2:09:08] because now surely
[2:09:11] I will ask for the tokens
[2:09:16] although it doesn't appear here
[2:09:20] the tokens
[2:09:24] and
[2:09:27] I don't know
[2:09:29] uh sorry
[2:09:31] let's have first
[2:09:34] the messenger with the tokens
[2:09:38] oh
[2:09:40] yeah they are coming
[2:09:43] and I I think sister
[2:09:47] have you got their special song or any
[2:09:50] song
[2:09:51] especially
[2:09:56] whoa
[2:09:58] but a song They will also understand
[2:10:02] we're like I see it
[2:10:05] [Music]
[2:10:11] [Music]
[2:10:14] yay
[2:10:15] [Music]
[2:10:22] [Music]
[2:10:35] [Music]
[2:10:43] [Applause]
[2:10:44] [Music]
[2:10:50] hey
[2:10:51] I see
[2:10:52] [Music]
[2:10:55] God bless you God bless you God bless
[2:10:59] you
[2:11:00] all right
[2:11:10] what is your name
[2:11:12] foreign
[2:11:24] what's your name
[2:11:34] it seems like you are all from one place
[2:11:37] God bless you again
[2:11:44] foreign
[2:11:49] [Music]
[2:12:13] [Music]
[2:12:20] yeah
[2:12:22] yes
[2:12:25] [Music]
[2:12:27] it was well planted yeah
[2:12:33] there's kids amen
[2:12:35] these children
[2:12:36] okay brother and sister
[2:12:39] now I've got your tokens
[2:12:43] all right amen
[2:12:46] and uh
[2:12:52] shall we bow our heads for a moment
[2:12:57] Heavenly Father we are so glad amen this
[2:13:02] is another great day for your son and
[2:13:05] daughter
[2:13:07] and their father
[2:13:10] hears the Rings before us
[2:13:13] before they Exchange
[2:13:16] I pray
[2:13:17] father that this will be a blessing to
[2:13:20] them in Jesus Christ's name I pray amen
[2:13:24] amen
[2:13:28] brother
[2:13:30] yeah
[2:13:32] I think you can identify
[2:13:43] let me hold this for you
[2:13:55] okay thank you
[2:14:04] one for your wife
[2:14:09] now you can pull one for your wife
[2:14:15] [Music]
[2:14:17] okay amen
[2:14:20] now
[2:14:22] Australia you will sleep the ring finger
[2:14:28] with
[2:14:31] a message
[2:14:39] brother I've done it already
[2:14:44] now
[2:14:45] it was like a hidden manner
[2:14:50] um
[2:14:52] but let me read it brother
[2:14:55] this one arrived after that one
[2:14:58] it was
[2:15:02] behind that one
[2:15:05] yeah it was supposed to face me like
[2:15:07] this is
[2:15:12] already amen
[2:15:17] brother
[2:15:19] I thank you brother
[2:15:22] Harvest Harvest amen
[2:15:27] and sorry
[2:15:31] I didn't see this part it was
[2:15:34] on the back side and could not see it
[2:15:42] will you have this woman
[2:15:45] to be your lawful wedded wife
[2:15:49] [Music]
[2:15:53] to live
[2:15:57] together in this holy state of matrimony
[2:16:06] let me keep this in my right hand
[2:16:10] right yeah
[2:16:12] you promise to honor now
[2:16:17] and cherish
[2:16:20] in sickness
[2:16:26] foreign
[2:16:27] [Music]
[2:16:38] [Music]
[2:16:48] [Applause]
[2:17:01] cultured into us
[2:17:03] will you have this man to be your lawful
[2:17:05] wedded husband
[2:17:10] to live together in this holy state of
[2:17:13] matrimony
[2:17:17] you promised to laugh
[2:17:28] s
[2:17:30] and live thee only unto him
[2:17:34] as long as you both live
[2:17:42] I do
[2:17:45] oh man amen
[2:17:50] okay I mean now surely
[2:17:54] that's right now
[2:17:56] I will require
[2:17:59] tokens
[2:18:03] and this Covenant will always be kept
[2:18:07] foreign
[2:18:11] right amen
[2:18:14] already
[2:18:16] you've got their token in yours account
[2:18:21] amen amen
[2:18:24] now
[2:18:28] let's bow our heads
[2:18:32] Heavenly Father amen
[2:18:35] here the two are together yes
[2:18:39] we know from before the foundation of
[2:18:41] the world Amen
[2:18:43] you had your plan
[2:18:46] everything
[2:18:48] was planned by thee
[2:18:50] and today we Are Witnesses
[2:18:53] father God
[2:18:55] seen that the two
[2:18:58] have eventually met
[2:19:01] they were separated in the Garden of
[2:19:03] Eden
[2:19:05] but today Lord God
[2:19:08] according to the law of restoration
[2:19:12] we have restored
[2:19:14] their marriage
[2:19:16] and they are here father we are
[2:19:19] witnesses to that as I pray for the
[2:19:22] blessings upon them
[2:19:24] as they exchange these rings
[2:19:27] as a sign
[2:19:29] that each and every one of them
[2:19:32] is
[2:19:34] an occupied person
[2:19:36] as I pray bless them in Jesus Christ's
[2:19:40] name amen amen
[2:19:43] well Charlie
[2:19:46] brother
[2:19:48] now as you sleep the ring throw a finger
[2:19:52] yeah
[2:19:55] you will also
[2:19:59] utter those words
[2:20:04] you had
[2:20:05] for this day
[2:20:13] I give you this ring as an
[2:20:15] acknowledgment from of the love that God
[2:20:18] has placed between us and it's a symbol
[2:20:20] that I will love you always
[2:20:22] that I will be there for you always and
[2:20:25] I believe that nothing will ever come
[2:20:26] between us because I believe this is
[2:20:29] what God has done I love you
[2:20:32] [Music]
[2:20:34] amen yes
[2:20:36] [Music]
[2:20:45] hold the hand and raise it up
[2:20:51] oh
[2:20:56] [Music]
[2:21:01] all right
[2:21:04] [Music]
[2:21:08] all right
[2:21:10] [Music]
[2:21:18] for your wife
[2:21:24] [Music]
[2:21:28] assistant
[2:21:31] you do likewise
[2:21:33] God bless you
[2:21:37] oh yeah
[2:21:43] my love
[2:21:48] I promise to love you
[2:21:51] is she Audible
[2:21:56] okay sorry sister sorry
[2:21:59] I promised
[2:22:08] in everything that we do
[2:22:12] [Applause]
[2:22:19] [Music]
[2:22:22] this is Howie Vega will give it to them
[2:22:26] after
[2:22:29] [Music]
[2:22:36] what are you saying
[2:22:38] [Music]
[2:22:56] [Applause]
[2:22:57] [Music]
[2:22:58] [Applause]
[2:22:59] foreign
[2:23:00] [Music]
[2:23:10] I think we are this far
[2:23:16] is the next move
[2:23:22] yes
[2:23:24] yes
[2:23:25] keep this place
[2:23:29] [Music]
[2:23:36] okay I'm in
[2:23:38] me as as your par as your brother
[2:23:44] I'm glad for your wedding
[2:23:48] because it's the fruit of this gospel
[2:23:51] yeah
[2:23:55] amen
[2:23:56] now Jordan shall you put your hands
[2:24:08] the world is full of books
[2:24:12] but none is like this one yeah
[2:24:19] this one was written before the
[2:24:21] foundation of the world
[2:24:25] this is
[2:24:26] the way
[2:24:27] eventually God
[2:24:32] amen amen
[2:24:35] I can go through all the universities of
[2:24:39] the world um
[2:24:44] and come back with degrees and whatever
[2:24:47] and what is 30 degrees
[2:24:50] but fella there is no book like this
[2:24:59] our heavenly father
[2:25:09] and you are so mighty great amen the
[2:25:13] Creator
[2:25:14] of Heaven and Earth amen
[2:25:19] every morning
[2:25:22] when I woke up
[2:25:24] I look up
[2:25:27] to the Blue Skies
[2:25:30] when they see bears
[2:25:34] in different melodies
[2:25:37] and I know that there is someone
[2:25:40] who is responsible I mean
[2:25:44] when I look at the mountains
[2:25:47] I see the blue sea
[2:25:51] different colors of flowers
[2:25:57] I say to myself
[2:25:59] truly there is somebody I mean the
[2:26:03] mighty One
[2:26:05] Look Into the Blue Skies
[2:26:09] there is somebody
[2:26:11] the mighty one
[2:26:13] none Earth but the great Jehovah
[2:26:17] foreign
[2:26:21] who created all things all things
[2:26:25] small and great
[2:26:29] Moraine yes sir
[2:26:33] Ena
[2:26:38] yes
[2:26:43] that they are standing here amen
[2:26:46] Lord God you have prepared this marriage
[2:26:50] even before the foundation of the world
[2:26:53] you pre-planned amen for this marriage
[2:26:57] and we are so glad to be Witnesses
[2:27:00] to this that the two
[2:27:03] have
[2:27:05] found one another
[2:27:09] Morena yes sir
[2:27:15] Morena
[2:27:17] foreign
[2:27:21] one day you will someone them to come
[2:27:24] Abaya
[2:27:26] they will be
[2:27:28] the the the New Jerusalem
[2:27:35] they will one day again much yes through
[2:27:39] the Pearly Gates
[2:27:41] into that Holy City to come
[2:27:44] but while they are here on Earth Lord
[2:27:47] yes
[2:27:53] Morena
[2:27:58] you are the law of life amen you have
[2:28:01] given them the law of life I pray that
[2:28:05] you'll bless them yes sir and keep them
[2:28:07] until that great day yes when we shall
[2:28:11] all together be taken up in the rapture
[2:28:17] as I pray
[2:28:19] and I Pronounce You
[2:28:21] husband and wife in Jesus Christ's name
[2:28:26] amen amen
[2:28:28] [Applause]
[2:28:33] foreign
[2:28:38] [Music]
[2:28:52] [Music]
[2:29:00] I said you are the bone of my bones
[2:29:04] you are so happy
[2:29:06] he said you are the Flesh of My Flesh
[2:29:12] and the Lord Jesus says
[2:29:17] and what God has put together
[2:29:25] you can unveil really
[2:29:30] what
[2:29:32] [Music]
[2:29:33] and greater in your own way
[2:29:39] a bread or something there
[2:29:42] [Music]
[2:29:55] [Music]
[2:30:01] foreign
[2:30:09] [Music]
[2:30:16] [Applause]
[2:30:30] [Music]
[2:30:36] foreign
[2:30:40] this is
[2:30:42] Mr and Mrs Russo
[2:30:51] amen okay amen God bless you
[2:30:57] let the elders come for a golden Sheikh
[2:31:01] handshake
[2:31:07] the elders
[2:31:10] just something for the elders
[2:31:15] [Music]
[2:31:35] [Music]
[2:31:47] [Music]
[2:32:02] [Music]
[2:32:20] [Music]
[2:32:35] foreign
[2:32:39] [Music]
[2:32:51] [Music]
[2:33:11] foreign
[2:33:13] [Applause]
[2:33:21] [Music]
[2:33:27] [Music]
[2:33:47] [Music]
[2:33:55] foreign
[2:34:15] but according to the program la
[2:34:18] um
[2:34:25] foreign
[2:35:01] so I think there's there's one item that
[2:35:06] the pasta forgot to
[2:35:09] call
[2:35:10] it was Sister okay amen so as they are
[2:35:14] standing like this I'm going to ask you
[2:35:17] some speaking if the pasta allows
[2:35:19] to overcome and and see you there soon
[2:35:22] and then
[2:35:25] [Music]
[2:35:42] um
[2:35:49] yeah they said
[2:35:52] head in hand
[2:35:54] lyrics
[2:36:02] [Music]
[2:36:09] [Music]
[2:36:17] today
[2:36:24] [Music]
[2:36:30] today
[2:36:33] [Music]
[2:36:42] [Music]
[2:36:47] foreign
[2:36:51] [Music]
[2:37:21] don't worry today
[2:37:25] [Music]
[2:37:32] [Music]
[2:37:55] foreign
[2:37:58] [Music]
[2:38:24] foreign
[2:38:26] [Music]
[2:39:07] foreign
[2:39:10] [Music]
[2:39:24] [Applause]
[2:39:28] [Music]
[2:39:42] hey
[2:39:45] God bless the
[2:39:48] Lord
[2:39:51] today so I
[2:39:56] said
[2:39:57] to
[2:39:59] conduct a session
[2:40:01] yeah
[2:40:03] photos
[2:40:08] I'm going to ask
[2:40:11] the couple to take the first photo with
[2:40:15] the pastor
[2:40:17] amen then the next one is going to be
[2:40:21] the couple together with the pasta and
[2:40:24] the areas amen
[2:40:26] will go to their families so foreign
[2:40:39] with
[2:40:45] position is appropriate right where it
[2:40:48] is
[2:40:51] fine for photos
[2:40:53] it's okay
[2:40:55] if you want this
[2:40:56] I don't know sorry
[2:41:00] if you tell us
[2:41:07] I'm going to ask if the pastor
[2:41:09] before and
[2:41:19] okay
[2:41:26] [Music]
[2:41:36] foreign
[2:41:41] [Music]
[2:41:51] [Music]
[2:42:00] [Applause]
[2:42:03] [Music]
[2:42:05] stop fall down
[2:42:14] [Music]
[2:42:26] [Music]
[2:42:32] [Music]
[2:42:35] foreign
[2:42:40] [Music]
[2:42:47] [Music]
[2:42:55] [Applause]
[2:43:02] [Applause]
[2:43:03] [Music]
[2:43:05] forever
[2:43:07] [Music]
[2:43:30] [Music]
[2:43:34] foreign
[2:43:35] [Music]
[2:43:50] thank you
[2:43:56] [Music]
[2:44:12] foreign
[2:44:26] [Music]
[2:44:44] [Applause]
[2:44:51] [Music]
[2:45:02] thank you
[2:45:07] [Music]
[2:45:24] [Applause]
[2:45:28] thank you
[2:45:37] [Applause]
[2:45:38] [Music]
[2:45:56] [Applause]
[2:45:58] [Music]
[2:46:00] foreign
[2:46:03] [Applause]
[2:46:06] [Music]
[2:46:39] thank you
[2:46:40] [Music]
[2:47:02] [Music]
[2:47:17] [Music]
[2:47:21] over the states
[2:47:25] [Music]
[2:47:46] [Applause]
[2:47:46] [Music]
[2:47:54] [Music]
[2:48:12] thank you
[2:48:12] [Music]
[2:48:24] [Music]
[2:48:46] foreign
[2:49:21] father
[2:49:23] 's day
[2:49:26] [Music]
[2:49:36] [Music]
[2:49:54] the Catholic version
[2:51:00] foreign
[2:51:28] [Music]
[2:51:33] foreign
[2:52:15] foreign
[2:52:20] [Music]
[2:52:48] smile
[2:53:17] something
[2:53:21] [Music]
[2:53:31] [Music]
[2:53:39] Hallelujah
[2:53:43] amen yes
[2:53:45] [Music]
[2:53:48] okay
[2:53:49] episode
[2:53:50] [Music]
[2:53:53] I think
[2:53:59] um
[2:54:07] this is the day
[2:54:10] is
[2:54:28] and then over to you
[2:54:42] [Applause]
[2:54:46] [Music]
[2:54:54] [Applause]
[2:54:59] [Music]
[2:55:03] [Applause]
[2:55:06] [Music]
[2:55:12] oh my God
[2:55:16] [Applause]
[2:55:19] [Music]
[2:55:29] [Music]
[2:55:32] [Applause]
[2:55:34] foreign
[2:55:38] [Music]
[2:55:44] [Applause]
[2:55:50] [Music]
[2:56:01] [Applause]
[2:56:10] foreign
[2:56:12] [Music]
[2:56:14] [Applause]
[2:56:26] [Music]
[2:56:40] [Music]
[2:56:47] thank you
[2:56:50] [Applause]
[2:56:53] [Music]
[2:57:08] foreign
[2:57:18] [Music]
[2:57:26] [Applause]
[2:57:38] [Applause]
[2:57:43] [Music]
[2:57:45] foreign
[2:57:47] [Music]
[2:57:55] [Applause]
[2:58:10] [Applause]
[2:58:16] [Music]
[2:58:18] [Applause]
[2:58:22] [Music]
[2:58:24] foreign
[2:58:37] [Music]
[2:58:59] foreign
[2:59:33] from here
[2:59:53] [Music]
[2:59:55] [Applause]
[3:00:00] foreign
[3:00:04] [Music]
[3:00:07] [Applause]
[3:00:14] [Music]
[3:00:18] [Applause]
[3:00:21] [Music]
[3:00:29] foreign
[3:00:30] [Music]
[3:00:35] [Applause]
[3:00:37] [Music]
[3:00:45] [Music]
[3:00:52] [Applause]
[3:00:53] [Music]
[3:00:57] [Applause]
[3:01:03] [Music]
[3:01:06] foreign
[3:01:08] [Music]
[3:01:16] [Music]
[3:01:33] [Applause]
[3:01:39] foreign
[3:01:43] [Music]
[3:01:46] [Applause]
[3:01:48] [Music]
[3:01:48] [Applause]
[3:01:50] [Music]
[3:01:57] [Applause]
[3:02:18] [Music]
[3:02:20] for Christmas
[3:02:22] [Music]
[3:02:30] [Applause]
[3:02:32] day
[3:02:35] [Music]
[3:02:45] everybody
[3:02:51] [Music]
[3:03:05] foreign
[3:03:07] [Applause]
[3:03:07] [Music]
[3:03:17] [Music]
[3:03:29] foreign
[3:03:51] [Applause]
[3:03:58] [Music]
[3:04:08] foreign
[3:04:13] [Music]
[3:04:26] [Music]
[3:04:47] foreign
[3:06:20] whole process of
[3:06:54] so
[3:07:10] I I wouldn't be here
[3:07:29] foreign
[3:07:59] videos
[3:08:29] foreign
[3:08:41] [Applause]
[3:09:02] so let us just all visited quite
[3:09:06] and
[3:09:08] the very good place for them God bless
[3:09:10] you
[3:09:13] [Music]
[3:09:15] [Applause]
[3:09:17] [Music]
[3:09:22] [Applause]
[3:09:24] [Music]
[3:09:29] [Applause]
[3:09:41] [Music]
[3:09:46] [Applause]
[3:09:50] [Music]
[3:10:04] foreign
[3:10:05] [Music]
[3:10:07] [Applause]
[3:10:15] [Music]
[3:10:21] [Applause]
[3:10:23] [Music]
[3:10:32] [Applause]
[3:10:36] foreign
[3:10:48] [Music]
[3:10:56] [Music]
[3:11:00] [Applause]
[3:11:08] foreign
[3:11:10] [Music]
[3:11:32] [Music]
[3:11:34] [Applause]
[3:11:39] foreign
[3:11:43] [Music]
[3:11:45] [Applause]
[3:11:46] [Music]
[3:12:01] [Applause]
[3:12:01] [Music]
[3:12:18] [Applause]
[3:12:28] [Music]
[3:12:41] [Music]
[3:12:46] foreign
[3:12:48] [Music]
[3:13:21] foreign
[3:13:23] [Music]
[3:13:43] [Music]
[3:13:53] [Music]
[3:14:00] [Music]
[3:14:06] foreign
